"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000019245","716165152088","","TOB-TW-SA273-S","SA273-S","RAW BAMBOO ROLLING MAT SINGLE","0","1","$2.49","$0.00","$2.49","$2.49","$0.50","$1.99","79.92%"
"210000035079","889166802624","","SI-ME-1247","NATIONAL FLAG","US FLAG PLUG - SMALL","0","2","$39.98","$0.00","$39.98","$42.88","$12.76","$27.22","68.09%"
"210000002651","603912279436","","PD2902-00","PD2902-00","ICICLES # 2 - HAND BLOWN GLASS MASSAGER RIPPLED - CLEAR","0","2","$73.98","$0.00","$73.98","$79.53","$18.00","$55.98","75.67%"
"210000029270","844477003283","","BDA-HC05","LC-SB-3283-2","THE VIXEN - PINK","0","2","$25.98","$0.00","$25.98","$27.93","$13.48","$12.50","48.11%"
"210000016603","091037869647","","MOOD-MEOW","MEOW","ME ME ME MEOW FEMALE SUPPLEMENT","0","7","$87.93","$0.00","$87.93","$87.93","$21.28","$66.65","75.8%"
"210000036118","723466525893","","GW-B1950 DREAMY GRAPE","B1950 DREAMY GRAPE","2PC CUT OUT HALTER BODYSUIT & LACED STOCKINGS","0","4","$139.96","$0.00","$139.96","$142.06","$67.80","$72.16","51.56%"
"210000023388","839289006935","","WV-WVSNCASG4","WVSNCASG4","WE VIBE ANNIVERSARY COLLECTION","0","1","$249.99","$0.00","$249.99","$267.49","$103.50","$146.49","58.6%"
"210000002722","603912313680","","PD3221-20","PD3221-20","FETISH FANTASY SERIES PUSSY PUMP","0","2","$89.98","$0.00","$89.98","$96.28","$22.80","$67.18","74.66%"
"210000023896","","","MP442-032BL-L-X","442-032","BONG THONG ANACANDA BLUE","0","1","$13.99","$0.00","$13.99","$13.99","$5.50","$8.49","60.69%"
"210000030395","845830027557","","MP442-051BK","442051 BLK","COTTRON RIBBED BONG THONG BLACK ONE SIZE","0","1","$14.99","$0.00","$14.99","$14.99","$4.67","$10.32","68.85%"
"210000021701","849663057606","","ES90R-S","90 RED SMALL","LACE BOYSHORTS RED SMALL","0","1","$9.99","$0.00","$9.99","$10.69","$3.95","$6.04","60.46%"
"210000003693","716770075697","","SE-0076-10-3","SE-0076-10-3","POSH 7 FUNCTION LOVERS REMOTE - PINK","0","1","$64.99","$0.00","$64.99","$70.19","$15.75","$49.24","75.77%"
"210000011848","889166524069","","MCG106GR","G106GR","NEON GREEN V CUT THONG","0","1","$14.99","$0.00","$14.99","$16.04","$4.00","$10.99","73.32%"
"210000007615","763036278477","","EC1185BL","1185OCEAN BLUE","DEEP V THONG OCEAN BLUE","0","1","$16.99","$0.00","$16.99","$18.18","$4.95","$12.04","70.87%"
"210000007618","763036278460","","EC1185R","1185 RED O/S","DEEP VBACK THONG RED O/S","0","1","$16.99","$0.00","$16.99","$18.18","$4.95","$12.04","70.87%"
"210000011993","889166508922","","MCG201GR","G201 NEON GREEN","NEON GREEN PERFECT FIT THONG O/S","0","1","$19.99","$0.00","$19.99","$21.39","$6.50","$13.49","67.48%"
"210000011856","889166509585","","MCG106NY","G106 NEON YELLOW","NEON YELLOW V CUT THONG O/S","0","1","$14.99","$0.00","$14.99","$16.04","$4.00","$10.99","73.32%"
"210000011863","889166509653","","MCG106TL","G106 TEAL","TEAL V CUT THONG O/S","0","1","$14.99","$0.00","$14.99","$16.04","$4.00","$10.99","73.32%"
"210000003437","603912291216","","RD215","RD215","PIPEDREAM EXTREME VIRGIN SNATCH","0","1","$29.99","$0.00","$29.99","$32.09","$7.20","$22.79","75.99%"
"210000033983","889166801429","","SI-VB-1036","EVO-050","YOUR TURN VIBRATING COCK RING/FINGER VIBE - PURPLE","0","3","$38.97","$0.00","$38.97","$41.89","$29.97","$9.00","23.09%"
"210000004810","603912329605","","PD3613-00","PD3613-00","FF BUTTERFLY NIPPLE CLAMPS","0","1","$19.99","$0.00","$19.99","$21.39","$4.50","$15.49","77.49%"
"210000034441","889166800194","","RGO-ML-1006","110178","POWER LIFT LCD DISPLAY PENIS PUMP","2","-1","$-149.99","$0.00","$-149.99","$-161.99","$-49.99","$-100.00","-66.67%"
"210000029306","854885001184","","SCO-XSOTWOO101","XSOTWOO101","SCREAMING O TWO-O COCKRING","0","1","$12.99","$0.00","$12.99","$13.90","$4.71","$8.28","63.74%"
"210000034644","812272069667","","BWB60B","BWB60B BLACK O/S","MIDNIGHT SECRETS BODYSTOCKING BLACK ONE SIZE","0","1","$22.99","$0.00","$22.99","$24.60","$7.50","$15.49","67.38%"
"210000017614","605632860208","","6025S","6025S","LATEX DENTAL DAM STRAWBERRY","0","1","$2.99","$0.00","$2.99","$3.20","$0.99","$2.00","67.04%"
"210000017613","605632860154","","6025G","6025G","LATEX DENTAL DAM GRAPE","0","1","$2.99","$0.00","$2.99","$3.20","$0.95","$2.04","68.31%"
"210000012780","845830058377","","MP177-178BK-S-M","177-178BK-S-M","MALE POWER MICRO GARTER SHORT SMALL/MEDIUM","0","1","$26.99","$0.00","$26.99","$28.88","$13.95","$13.04","48.31%"
"210000032016","","","MED-DVD29-GANGBANG","PAK-840 BLUE S/M","STRETCH MESH MINI SHORT ROYAL BLUE SMALL/MEDIUM","0","1","$15.99","$0.00","$15.99","$17.11","$6.75","$9.24","57.79%"
"210000017877","782421026653","","DJ-1360-33-CD","1360-33-CD","GOODHEAD DEEP THROAT SPRAY TO GO STRAWBERRY","0","2","$29.98","$0.00","$29.98","$31.03","$5.80","$24.18","80.65%"
"210000033934","889166800934","","SI-ML-8037","XS-MA60025","JASMINE","0","1","$14.99","$0.00","$14.99","$16.04","$5.82","$9.17","61.17%"
"210000001184","844477011387","","EN-ON-1387-2","EN-ON-1387-2","OUR PLEASURE PENIS SLEEVE W/ BULLET","0","1","$12.99","$0.00","$12.99","$13.90","$3.49","$9.50","73.13%"
"210000033920","889166800798","","SI-ML-8023","JM-PG1405","ERICA","0","1","$77.99","$0.00","$77.99","$83.84","$43.33","$34.66","44.44%"
"210000009910","849663049755","","ES7751BK-S","7751 BLACK S","COVER UP AND BEACH DRESS - BLACK - SMALL","0","1","$24.99","$0.00","$24.99","$26.86","$19.95","$5.04","20.17%"
"210000009790","849663006840","","ES7700W-S","7700W-S","BANDEAU TOP CONVERTIBLE DRESS WHITE S","0","1","$41.99","$0.00","$41.99","$45.14","$17.95","$24.04","57.25%"
"210000017093","825156107201","","KPR-BG.R121","VBGR121","BEDROOM COMMANDS CARD GAME","0","1","$9.99","$0.00","$9.99","$10.79","$3.50","$6.49","64.96%"
"210000017074","825156107072","","KPR-BG.C52","BG.C52","LUST! THE CARD GAME","0","1","$12.99","$0.00","$12.99","$14.03","$3.97","$9.02","69.46%"
"210000009801","849663007021","","ES7702W-L","7702 WHITE L","COVER UP AND BEACH DRESS - WHITE - LARGE","0","1","$19.99","$0.00","$19.99","$19.99","$11.95","$8.04","40.22%"
"210000031030","688977499609","","BWJ7BL-L","J7BL L","DISTRESSED CUT SIDE DENIM SHORTS BLUE LARGE","0","1","$29.99","$0.00","$29.99","$29.99","$7.88","$22.11","73.72%"
"210000007613","763036265859","","EC1181SV","1181-3Z-04","ESCANTE FUSION METALLIC MINI SKIRT - SILVER - OS","0","1","$12.99","$0.00","$12.99","$12.99","$9.95","$3.04","23.4%"
"210000012948","845830044035","","MP474-056BK-X","474-056BK-X","BRANDED MESH MUSTANG BIKINI BLACK EXTRA LARGE","0","1","$13.99","$0.00","$13.99","$14.97","$6.50","$7.49","53.54%"
"210000035384","840091615277","","AC91327-L","91327 BKWH L","SHEER PINSTRIPE BOXER LARGE","0","1","$28.99","$0.00","$28.99","$28.99","$11.22","$17.77","61.3%"
"210000026629","","","ES1825BK-L","1825 BLACK XLRG","ULTRA DARING LEGGINGS BLACK EXTRA LARGE","0","1","$33.99","$0.00","$33.99","$33.99","$15.95","$18.04","53.07%"
"210000007535","763036265170","","EC1162PK","EC1162PK","ESCANTE FUSION THICK BAND TRIANGLE BIKINI TOP NEON PINK O/S  ( CLOTHING - DANCEWEAR - )","0","1","$24.99","$0.00","$24.99","$24.99","$9.75","$15.24","60.98%"
"210000007585","763036265590","","EC1173PK","1173-3T-04","FLUTTER SIDE GSTRING - NEON PINK - OS","0","2","$29.98","$0.00","$29.98","$29.98","$13.90","$16.08","53.64%"
"210000007554","763036265347","","EC1166PK","1166PK","EC1166PK","0","2","$45.98","$0.00","$45.98","$45.98","$17.90","$28.08","61.07%"
"210000012214","849450015116","","ML4645PK","4645 NEON PINK","RAINBOW SATIN BOW OPAQUE THIGH HI NEONPNK","0","2","$19.98","$0.00","$19.98","$19.98","$3.58","$16.40","82.08%"
"210000002880","603912345735","","PD4115-23","PD4115-23","FANTASY XTENSIONS MEGA 3 EXTENSION BLACK","0","1","$54.99","$0.00","$54.99","$54.99","$14.40","$40.59","73.81%"
"210000034451","889166800293","","RGO-DD-1008","","8IN SILICONE DILDO FLESH","0","1","$39.99","$0.00","$39.99","$43.19","$21.06","$18.93","47.34%"
"210000028437","404936901512","","SAT-EIS008","EIS008","SATISFYER PRO DELUXE NEXT GENERATION","0","1","$59.99","$0.00","$59.99","$64.79","$28.90","$31.09","51.83%"
